XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
713865.69920000,3308767.29045000,0,-1,1,0.989317,6.300000
713865.89700000,3308767.06270000,1,-1,1,0.989565,6.300000
713866.09475000,3308766.83495000,2,-1,1,0.989102,6.300000
713866.29250000,3308766.60720000,3,-1,1,0.989565,6.200000
713866.49030000,3308766.37945000,4,-1,1,0.989317,6.200000
713866.68810000,3308766.15170000,5,-1,1,0.989565,6.100000
713866.88590000,3308765.92395000,6,-1,1,0.989317,6.100000
713867.08365000,3308765.69620000,7,-1,1,0.989350,6.000000
713867.28140000,3308765.46845000,8,-1,1,0.989317,6.000000
713867.47920000,3308765.24070000,9,-1,1,0.989565,5.900000
713867.67700000,3308765.01295000,10,-1,1,0.989317,5.900000
713867.87480000,3308764.78520000,11,-1,1,0.989565,5.800000
713868.07260000,3308764.55745000,12,-1,1,0.989317,5.800000
713868.27035000,3308764.32970000,13,-1,1,0.989350,5.700000
713868.46810000,3308764.10195000,14,-1,1,0.989317,5.600000
713868.66590000,3308763.87420000,15,-1,1,0.989565,5.600000
713868.86370000,3308763.64645000,16,-1,1,0.989317,5.500000
713869.06150000,3308763.41870000,17,-1,1,0.989565,5.500000
713869.25925000,3308763.19090000,18,-1,1,0.989350,5.500000
713869.45700000,3308762.96315000,19,-1,1,0.989317,5.400000
713869.65480000,3308762.73540000,20,-1,1,0.989565,5.400000
713869.85260000,3308762.50765000,21,-1,1,0.989317,5.400000
713870.05040000,3308762.27990000,22,-1,1,0.989565,5.400000
713870.24820000,3308762.05215000,23,-1,1,0.989317,5.400000
713870.44595000,3308761.82440000,24,-1,1,0.989350,5.300000
713870.64370000,3308761.59665000,25,-1,1,0.989317,5.300000
713870.84150000,3308761.36890000,26,-1,1,0.989565,5.300000
713871.03930000,3308761.14115000,27,-1,1,0.989317,5.300000
713871.23710000,3308760.91340000,28,-1,1,0.989565,5.300000
713871.43485000,3308760.68565000,29,-1,1,0.989102,5.300000
713871.63260000,3308760.45790000,30,-1,1,0.989565,5.400000
713871.83040000,3308760.23015000,31,-1,1,0.989317,5.400000
713872.02820000,3308760.00240000,32,-1,1,0.989565,5.400000
713872.22600000,3308759.77465000,33,-1,1,0.989317,5.400000
713872.42380000,3308759.54690000,34,-1,1,0.989565,5.400000
713872.62155000,3308759.31915000,35,-1,1,0.989102,5.400000
713872.81930000,3308759.09140000,36,-1,1,0.989565,5.500000
713873.01710000,3308758.86365000,37,-1,1,0.989317,5.500000
713873.21490000,3308758.63590000,38,-1,1,0.989565,5.500000
713873.41270000,3308758.40815000,39,-1,1,0.989317,5.500000
713873.61045000,3308758.18040000,40,-1,1,0.989350,5.600000
713873.80820000,3308757.95265000,41,-1,1,0.989317,5.600000
713874.00600000,3308757.72490000,42,-1,1,0.989565,5.600000
713874.20380000,3308757.49715000,43,-1,1,0.989317,5.600000
713874.40160000,3308757.26940000,44,-1,1,0.989565,5.600000
713874.60265000,3308757.26695000,45,-1,1,0.991765,5.600000
713874.80700000,3308757.48980000,46,-1,1,0.991745,5.600000
713875.01135000,3308757.71260000,47,-1,1,0.991523,5.700000
713875.21570000,3308757.93540000,48,-1,1,0.991745,5.700000
713875.42010000,3308758.15825000,49,-1,1,0.991987,5.700000
713875.62445000,3308758.38110000,50,-1,1,0.991523,5.800000
713875.82880000,3308758.60390000,51,-1,1,0.991745,5.800000
713876.03315000,3308758.82670000,52,-1,1,0.991523,5.800000
713876.23750000,3308759.04955000,53,-1,1,0.991987,5.800000
713876.44190000,3308759.27240000,54,-1,1,0.991745,5.800000
713876.64625000,3308759.49520000,55,-1,1,0.991523,5.800000
713876.85060000,3308759.71800000,56,-1,1,0.991745,5.800000
713877.05495000,3308759.94085000,57,-1,1,0.991765,5.800000
713877.25930000,3308760.16370000,58,-1,1,0.991745,5.900000
713877.46365000,3308760.38650000,59,-1,1,0.991523,5.900000
713877.66800000,3308760.60930000,60,-1,1,0.991745,5.900000
713877.87240000,3308760.83215000,61,-1,1,0.991987,6.000000
