XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
740071.74420895,3283142.00501218,0,-1,1,1.000000,5.200000
740071.45081055,3283141.92261187,1,-1,1,1.000000,5.300000
740071.15741215,3283141.84021156,2,-1,1,1.000000,5.300000
740070.86401375,3283141.75781125,3,-1,1,1.000000,5.300000
740070.57061535,3283141.67541094,4,-1,1,1.000000,5.300000
740070.27721695,3283141.59301063,5,-1,1,1.000000,5.300000
740069.98381855,3283141.51061032,6,-1,1,1.000000,5.400000
740069.69042015,3283141.42821002,7,-1,1,1.000000,5.300000
740069.39702176,3283141.34580971,8,-1,1,1.000000,5.300000
740069.10362336,3283141.26340940,9,-1,1,1.000000,5.300000
740068.81022496,3283141.18100909,10,-1,1,1.000000,5.300000
740068.51682657,3283141.09860878,11,-1,1,1.000000,5.300000
740068.22342817,3283141.01620848,12,-1,1,1.000000,5.300000
740067.93002978,3283140.93380817,13,-1,1,1.000000,5.300000
740067.63663138,3283140.85140787,14,-1,1,1.000000,5.300000
740067.34323299,3283140.76900756,15,-1,1,1.000000,5.300000
740067.04983459,3283140.68660725,16,-1,1,1.000000,5.300000
740066.75643620,3283140.60420695,17,-1,1,1.000000,5.300000
740066.46303781,3283140.52180664,18,-1,1,1.000000,5.300000
740066.16963942,3283140.43940634,19,-1,1,1.000000,5.300000
740065.87624103,3283140.35700603,20,-1,1,1.000000,5.300000
740065.58284263,3283140.27460573,21,-1,1,1.000000,5.300000
740065.28944424,3283140.19220542,22,-1,1,1.000000,5.300000
740064.99604585,3283140.10980512,23,-1,1,1.000000,5.300000
740064.70264746,3283140.02740481,24,-1,1,1.000000,5.300000
740064.40924908,3283139.94500451,25,-1,1,1.000000,5.300000
740064.11585069,3283139.86260421,26,-1,1,1.000000,5.300000
740063.82245230,3283139.78020390,27,-1,1,1.000000,5.300000
740063.52905391,3283139.69780360,28,-1,1,1.000000,5.300000
740063.23565553,3283139.61540329,29,-1,1,1.000000,5.400000
740062.94225714,3283139.53300299,30,-1,1,1.000000,5.400000
740062.64885875,3283139.45060269,31,-1,1,1.000000,5.400000
740062.35546037,3283139.36820239,32,-1,1,1.000000,5.500000
740062.06206198,3283139.28580208,33,-1,1,1.000000,5.500000
740061.76866360,3283139.20340178,34,-1,1,1.000000,5.500000
740061.47526522,3283139.12100148,35,-1,1,1.000000,5.500000
740061.18186683,3283139.03860118,36,-1,1,1.000000,5.500000
740060.88846845,3283138.95620088,37,-1,1,1.000000,5.500000
740060.59507007,3283138.87380058,38,-1,1,1.000000,5.600000
740060.30167169,3283138.79140027,39,-1,1,1.000000,5.600000
740060.00827330,3283138.70899997,40,-1,1,1.000000,5.600000
740059.71487492,3283138.62659967,41,-1,1,1.000000,5.600000
740059.42147654,3283138.54419937,42,-1,1,1.000000,5.600000
740059.12807816,3283138.46179907,43,-1,1,1.000000,5.600000
740058.83467978,3283138.37939877,44,-1,1,1.000000,5.600000
740058.54128141,3283138.29699847,45,-1,1,1.000000,5.600000
740058.24788303,3283138.21459817,46,-1,1,1.000000,5.600000
