XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
737546.41549461,3281909.42421462,0,-1,1,0.999651,2.800000
737546.16779071,3281909.24660091,1,-1,1,0.999651,2.800000
737545.92008681,3281909.06898720,2,-1,1,0.999651,2.800000
737545.67238291,3281908.89137349,3,-1,1,0.999651,2.800000
737545.42467902,3281908.71375978,4,-1,1,0.999651,2.800000
737545.17697512,3281908.53614607,5,-1,1,0.999651,2.800000
737544.92927122,3281908.35853236,6,-1,1,0.999651,2.800000
737544.68156733,3281908.18091865,7,-1,1,0.999651,2.800000
737544.43386343,3281908.00330494,8,-1,1,0.999651,2.800000
737544.18615954,3281907.82569123,9,-1,1,0.999651,2.800000
737543.93845564,3281907.64807752,10,-1,1,0.999651,2.800000
737543.69075175,3281907.47046381,11,-1,1,0.999651,2.800000
737543.44304785,3281907.29285011,12,-1,1,0.999651,2.800000
737543.19534396,3281907.11523640,13,-1,1,0.999651,2.800000
737542.94764007,3281906.93762269,14,-1,1,0.999651,2.800000
737542.69993617,3281906.76000899,15,-1,1,0.999651,2.800000
737542.45223228,3281906.58239528,16,-1,1,0.999651,2.800000
737542.20452838,3281906.40478158,17,-1,1,0.999651,2.800000
737541.95682449,3281906.22716788,18,-1,1,0.999651,2.800000
737541.70912060,3281906.04955417,19,-1,1,0.999651,2.800000
737541.46141671,3281905.87194047,20,-1,1,0.999651,2.800000
737541.21371281,3281905.69432677,21,-1,1,0.999651,2.800000
737540.96600892,3281905.51671306,22,-1,1,0.999651,2.800000
737540.71830503,3281905.33909936,23,-1,1,0.999651,2.800000
737540.47060114,3281905.16148566,24,-1,1,0.999651,2.800000
737540.22289725,3281904.98387196,25,-1,1,0.999651,2.800000
737539.97519336,3281904.80625826,26,-1,1,0.999651,2.800000
737539.72748947,3281904.62864456,27,-1,1,0.999651,2.800000
737539.47978558,3281904.45103086,28,-1,1,0.999651,2.800000
737539.23208169,3281904.27341716,29,-1,1,0.999651,2.700000
737538.98437780,3281904.09580347,30,-1,1,0.999651,2.700000
737538.73667391,3281903.91818977,31,-1,1,0.999651,2.700000
737538.48897002,3281903.74057607,32,-1,1,0.999651,2.700000
737538.24126613,3281903.56296237,33,-1,1,0.999651,2.700000
737537.99356224,3281903.38534868,34,-1,1,0.999651,2.700000
737537.74585835,3281903.20773498,35,-1,1,0.999651,2.700000
737537.49815446,3281903.03012129,36,-1,1,0.999651,2.700000
737537.25045057,3281902.85250759,37,-1,1,0.999651,2.700000
737537.00274669,3281902.67489390,38,-1,1,0.999651,2.700000
737536.75504280,3281902.49728020,39,-1,1,0.999651,2.700000
737536.50733891,3281902.31966651,40,-1,1,0.999651,2.700000
737536.25963503,3281902.14205282,41,-1,1,0.999651,2.700000
737536.01193114,3281901.96443913,42,-1,1,0.999651,2.700000
737535.76422725,3281901.78682543,43,-1,1,0.999651,2.700000
737535.51652336,3281901.60921174,44,-1,1,0.999651,2.700000
737535.26881948,3281901.43159805,45,-1,1,0.999651,2.700000
737535.02111559,3281901.25398436,46,-1,1,0.999651,2.600000
737534.77341171,3281901.07637067,47,-1,1,0.999651,2.600000
737534.52570782,3281900.89875698,48,-1,1,0.999651,2.600000
737534.27800394,3281900.72114329,49,-1,1,0.999651,2.600000
737534.03030005,3281900.54352960,50,-1,1,0.999651,2.600000
737533.78259617,3281900.36591592,51,-1,1,0.999651,2.600000
737533.53489228,3281900.18830223,52,-1,1,0.999651,2.600000
737533.28718840,3281900.01068854,53,-1,1,0.999651,2.600000
737533.03948452,3281899.83307485,54,-1,1,0.999651,2.600000
737532.79178063,3281899.65546117,55,-1,1,0.999651,2.600000
737532.54407675,3281899.47784748,56,-1,1,0.999651,2.600000
737532.29637287,3281899.30023380,57,-1,1,0.999651,2.600000
737532.04866899,3281899.12262011,58,-1,1,0.999651,2.600000
737531.80096510,3281898.94500643,59,-1,1,0.999651,2.600000
737531.55326122,3281898.76739274,60,-1,1,0.999651,2.600000
737531.30555734,3281898.58977906,61,-1,1,0.999651,2.600000
737531.05785346,3281898.41216538,62,-1,1,0.999651,2.600000
737530.81014958,3281898.23455170,63,-1,1,0.999651,2.600000
737530.56244570,3281898.05693802,64,-1,1,0.999651,2.600000
737530.31474181,3281897.87932433,65,-1,1,0.999651,2.600000
737530.06703793,3281897.70171065,66,-1,1,0.999651,2.600000
737529.81933405,3281897.52409697,67,-1,1,0.999651,2.600000
737529.57163017,3281897.34648329,68,-1,1,0.999651,2.600000
737529.32392629,3281897.16886962,69,-1,1,0.999651,2.600000
737529.07622241,3281896.99125594,70,-1,1,0.999651,2.600000
737528.82851853,3281896.81364226,71,-1,1,0.999651,2.600000
737528.58081466,3281896.63602858,72,-1,1,0.999651,2.600000
737528.33311078,3281896.45841490,73,-1,1,0.999651,2.600000
737528.08540690,3281896.28080122,74,-1,1,0.999651,2.600000
737527.83770302,3281896.10318755,75,-1,1,0.999651,2.600000
737527.58999914,3281895.92557387,76,-1,1,0.999651,2.600000
737527.34229526,3281895.74796020,77,-1,1,0.999651,2.600000
737527.09459139,3281895.57034652,78,-1,1,0.999651,2.600000
737526.84688751,3281895.39273285,79,-1,1,0.999651,2.600000
