XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
741473.26740648,3288451.74104960,0,-1,1,0.999255,1.500000
741473.40607725,3288451.46974523,1,-1,1,0.999255,1.500000
741473.54474802,3288451.19844086,2,-1,1,0.999255,1.500000
741473.68341879,3288450.92713649,3,-1,1,0.999255,1.500000
741473.82208956,3288450.65583212,4,-1,1,0.999255,1.500000
741473.96076033,3288450.38452775,5,-1,1,0.999255,1.500000
741474.09943110,3288450.11322338,6,-1,1,0.999255,1.500000
741474.23810187,3288449.84191901,7,-1,1,0.999255,1.500000
741474.37677264,3288449.57061464,8,-1,1,0.999255,1.500000
741474.51544340,3288449.29931027,9,-1,1,0.999255,1.400000
741474.65411417,3288449.02800590,10,-1,1,0.999255,1.400000
741474.79278494,3288448.75670153,11,-1,1,0.999255,1.400000
741474.93145570,3288448.48539715,12,-1,1,0.999255,1.400000
741475.07012647,3288448.21409278,13,-1,1,0.999255,1.400000
741475.20879723,3288447.94278841,14,-1,1,0.999255,1.300000
741475.34746800,3288447.67148403,15,-1,1,0.999255,1.300000
741475.48613876,3288447.40017966,16,-1,1,0.999255,1.200000
741475.62480953,3288447.12887528,17,-1,1,0.999255,1.200000
741475.76348029,3288446.85757091,18,-1,1,0.999255,1.100000
741475.90215106,3288446.58626653,19,-1,1,0.999255,1.100000
741476.04082182,3288446.31496216,20,-1,1,0.999255,1.000000
741476.17949258,3288446.04365778,21,-1,1,0.999255,0.900000
741476.31816335,3288445.77235341,22,-1,1,0.999255,0.900000
741476.45683411,3288445.50104903,23,-1,1,0.999255,0.800000
741476.59550487,3288445.22974465,24,-1,1,0.999255,0.800000
741476.73417563,3288444.95844027,25,-1,1,0.999255,0.800000
741476.87284639,3288444.68713589,26,-1,1,0.999255,0.800000
741477.01151715,3288444.41583151,27,-1,1,0.999255,0.700000
741477.15018791,3288444.14452714,28,-1,1,0.999255,0.700000
741477.28885867,3288443.87322276,29,-1,1,0.999255,0.700000
741477.42752943,3288443.60191838,30,-1,1,0.999255,0.700000
741477.56620019,3288443.33061400,31,-1,1,0.999255,0.600000
741477.70487095,3288443.05930961,32,-1,1,0.999255,0.600000
741477.84354171,3288442.78800523,33,-1,1,0.999255,0.500000
741477.98221247,3288442.51670085,34,-1,1,0.999255,0.500000
741478.12088322,3288442.24539647,35,-1,1,0.999255,0.400000
741478.25955398,3288441.97409209,36,-1,1,0.999255,0.400000
741478.39822474,3288441.70278770,37,-1,1,0.999255,0.400000
741478.53689549,3288441.43148332,38,-1,1,0.999255,0.400000
741478.67556625,3288441.16017894,39,-1,1,0.999255,0.400000
741478.81423700,3288440.88887455,40,-1,1,0.999255,0.400000
741478.95290776,3288440.61757017,41,-1,1,0.999255,0.400000
741479.09157852,3288440.34626578,42,-1,1,0.999255,0.300000
741479.23024927,3288440.07496140,43,-1,1,0.999255,0.300000
741479.36892002,3288439.80365701,44,-1,1,0.999255,0.300000
741479.50759078,3288439.53235263,45,-1,1,0.999255,0.200000
741479.64626153,3288439.26104824,46,-1,1,0.999255,0.200000
741479.78493228,3288438.98974386,47,-1,1,0.999255,0.200000
741479.92360304,3288438.71843947,48,-1,1,0.999255,0.100000
741480.06227379,3288438.44713508,49,-1,1,0.999255,0.100000
741480.20094454,3288438.17583069,50,-1,1,0.999255,0.000000
741480.33961529,3288437.90452631,51,-1,1,0.999255,-0.000000
741480.47828604,3288437.63322192,52,-1,1,0.999255,-0.100000
741480.61695679,3288437.36191753,53,-1,1,0.999255,-0.100000
741480.75562754,3288437.09061314,54,-1,1,0.999255,-0.200000
741480.89429829,3288436.81930875,55,-1,1,0.999255,-0.200000
741481.03296904,3288436.54800436,56,-1,1,0.999255,-0.300000
741481.17163979,3288436.27669997,57,-1,1,0.999255,-0.300000
741481.31031054,3288436.00539557,58,-1,1,0.999255,-0.300000
741481.44898129,3288435.73409118,59,-1,1,0.999255,-0.300000
741481.58765204,3288435.46278679,60,-1,1,0.999255,-0.300000
741481.72632278,3288435.19148240,61,-1,1,0.999255,-0.300000
741481.86499353,3288434.92017801,62,-1,1,0.999255,-0.300000
741482.00366428,3288434.64887361,63,-1,1,0.999255,-0.300000
741482.14233502,3288434.37756922,64,-1,1,0.999255,-0.300000
741482.28100577,3288434.10626482,65,-1,1,0.999255,-0.300000
741482.41967652,3288433.83496043,66,-1,1,0.999255,-0.300000
741482.55834726,3288433.56365603,67,-1,1,0.999255,-0.300000
741482.69701801,3288433.29235164,68,-1,1,0.999255,-0.300000
741482.83568875,3288433.02104724,69,-1,1,0.999255,-0.200000
741482.97435949,3288432.74974285,70,-1,1,0.999255,-0.200000
741483.11303024,3288432.47843845,71,-1,1,0.999255,-0.200000
741483.25170098,3288432.20713405,72,-1,1,0.999255,-0.200000
741483.39037173,3288431.93582966,73,-1,1,0.999255,-0.200000
741483.52904247,3288431.66452526,74,-1,1,0.999255,-0.100000
741483.66771321,3288431.39322086,75,-1,1,0.999255,-0.100000
741483.80638395,3288431.12191646,76,-1,1,0.999255,-0.100000
741483.94505469,3288430.85061206,77,-1,1,0.999255,-0.100000
741484.08372543,3288430.57930766,78,-1,1,0.999255,-0.000000
741484.22239617,3288430.30800326,79,-1,1,0.999255,-0.000000
741484.36106691,3288430.03669887,80,-1,1,0.999255,-0.000000
741484.49973765,3288429.76539447,81,-1,1,0.999255,-0.000000
741484.63840839,3288429.49409006,82,-1,1,0.999255,-0.100000
741484.77707913,3288429.22278566,83,-1,1,0.999255,-0.100000
741484.91574987,3288428.95148126,84,-1,1,0.999255,-0.100000
741485.05442061,3288428.68017686,85,-1,1,0.999255,-0.200000
741485.19309135,3288428.40887246,86,-1,1,0.999255,-0.200000
741485.33176209,3288428.13756805,87,-1,1,0.999255,-0.200000
741485.47043282,3288427.86626365,88,-1,1,0.999255,-0.200000
741485.60910356,3288427.59495925,89,-1,1,0.999255,-0.100000
741485.74777430,3288427.32365484,90,-1,1,0.999255,-0.100000
741485.88644503,3288427.05235044,91,-1,1,0.999255,-0.100000
741486.02511577,3288426.78104603,92,-1,1,0.999255,-0.100000
741486.16378650,3288426.50974163,93,-1,1,0.999255,-0.100000
741486.30245724,3288426.23843722,94,-1,1,0.999255,-0.000000
741486.44112797,3288425.96713281,95,-1,1,0.999255,-0.000000
741486.57979871,3288425.69582841,96,-1,1,0.999255,-0.000000
741486.71846944,3288425.42452400,97,-1,1,0.999255,0.000000
741486.85714017,3288425.15321960,98,-1,1,0.999255,0.000000
741486.99581091,3288424.88191519,99,-1,1,0.999255,0.000000
741487.13448164,3288424.61061078,100,-1,1,0.999255,0.000000
741487.27315237,3288424.33930637,101,-1,1,0.999255,0.000000
741487.41182310,3288424.06800196,102,-1,1,0.999255,0.100000
741487.55049383,3288423.79669755,103,-1,1,0.999255,0.100000
741487.68916457,3288423.52539314,104,-1,1,0.999255,0.100000
741487.82783530,3288423.25408873,105,-1,1,0.999255,0.100000
741487.96650603,3288422.98278432,106,-1,1,0.999255,0.100000
741488.10517676,3288422.71147991,107,-1,1,0.999255,0.100000
