XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
716918.93522311,3305172.60086283,0,-1,1,0.993909,3.200000
716919.23112308,3305172.53555934,1,-1,1,0.993909,3.200000
716919.52702305,3305172.47025586,2,-1,1,0.993909,3.100000
716919.82292301,3305172.40495237,3,-1,1,0.993909,3.100000
716920.11882298,3305172.33964888,4,-1,1,0.993909,3.100000
716920.41472295,3305172.27434539,5,-1,1,0.993909,3.100000
716920.71062291,3305172.20904190,6,-1,1,0.993909,3.100000
716921.00652288,3305172.14373841,7,-1,1,0.993909,3.200000
716921.30242285,3305172.07843492,8,-1,1,0.993909,3.200000
716921.59832282,3305172.01313143,9,-1,1,0.993909,3.200000
716921.89444022,3305171.98753524,10,-1,1,0.973082,3.200000
716922.19077506,3305172.00164634,11,-1,1,0.973082,3.200000
716922.48710989,3305172.01575744,12,-1,1,0.973082,3.200000
716922.78344473,3305172.02986853,13,-1,1,0.973082,3.200000
716923.07977957,3305172.04397963,14,-1,1,0.973082,3.200000
716923.37611441,3305172.05809073,15,-1,1,0.973082,3.100000
716923.67244924,3305172.07220183,16,-1,1,0.973082,3.100000
716923.96878408,3305172.08631293,17,-1,1,0.973082,3.100000
716924.26511892,3305172.10042403,18,-1,1,0.973082,3.200000
716924.56145376,3305172.11453513,19,-1,1,0.973082,3.200000
716924.85778860,3305172.12864623,20,-1,1,0.973082,3.200000
716925.15412344,3305172.14275733,21,-1,1,0.973082,3.200000
716925.45045828,3305172.15686843,22,-1,1,0.973082,3.200000
716925.74679313,3305172.17097953,23,-1,1,0.973082,3.200000
716926.04312797,3305172.18509063,24,-1,1,0.973082,3.200000
716926.33946281,3305172.19920173,25,-1,1,0.973082,3.200000
716926.63579765,3305172.21331283,26,-1,1,0.973082,3.200000
716926.93213250,3305172.22742393,27,-1,1,0.973082,3.200000
716927.22846734,3305172.24153502,28,-1,1,0.973082,3.200000
716927.52480219,3305172.25564612,29,-1,1,0.973082,3.200000
716927.82113703,3305172.26975722,30,-1,1,0.973082,3.200000
716928.11747188,3305172.28386832,31,-1,1,0.973082,3.200000
716928.41380672,3305172.29797942,32,-1,1,0.973082,3.300000
716928.71014157,3305172.31209052,33,-1,1,0.973082,3.300000
716929.00647642,3305172.32620162,34,-1,1,0.973082,3.300000
716929.30281126,3305172.34031272,35,-1,1,0.973082,3.300000
716929.59914611,3305172.35442382,36,-1,1,0.973082,3.300000
716929.89548096,3305172.36853492,37,-1,1,0.973082,3.300000
716930.19181581,3305172.38264602,38,-1,1,0.973082,3.300000
716930.48815066,3305172.39675712,39,-1,1,0.973082,3.300000
716930.78671056,3305172.41495239,40,-1,1,0.989280,3.300000
716931.08749552,3305172.43723182,41,-1,1,0.989280,3.200000
716931.38828048,3305172.45951124,42,-1,1,0.989280,3.200000
716931.68906544,3305172.48179067,43,-1,1,0.989280,3.200000
716931.98985040,3305172.50407010,44,-1,1,0.989280,3.200000
716932.29063536,3305172.52634953,45,-1,1,0.989280,3.200000
716932.59142032,3305172.54862896,46,-1,1,0.989280,3.300000
716932.89220529,3305172.57090839,47,-1,1,0.989280,3.300000
716933.19299025,3305172.59318781,48,-1,1,0.989280,3.300000
716933.49377521,3305172.61546724,49,-1,1,0.989280,3.300000
716933.79456017,3305172.63774667,50,-1,1,0.989280,3.300000
716934.09534514,3305172.66002610,51,-1,1,0.989280,3.300000
716934.39613010,3305172.68230553,52,-1,1,0.989280,3.300000
716934.69691507,3305172.70458496,53,-1,1,0.989280,3.300000
716934.99770003,3305172.72686439,54,-1,1,0.989280,3.300000
716935.29848500,3305172.74914382,55,-1,1,0.989280,3.300000
716935.59926997,3305172.77142325,56,-1,1,0.989280,3.300000
716935.90005493,3305172.79370268,57,-1,1,0.989280,3.300000
716936.20083990,3305172.81598211,58,-1,1,0.989280,3.300000
716936.49738393,3305172.83720120,59,-1,1,0.961034,3.300000
716936.78968703,3305172.85735995,60,-1,1,0.961034,3.300000
716937.08199012,3305172.87751870,61,-1,1,0.961034,3.300000
716937.37429322,3305172.89767745,62,-1,1,0.961034,3.300000
716937.66659631,3305172.91783620,63,-1,1,0.961034,3.400000
716937.95889941,3305172.93799495,64,-1,1,0.961034,3.400000
716938.25120251,3305172.95815371,65,-1,1,0.961034,3.400000
716938.54350560,3305172.97831246,66,-1,1,0.961034,3.400000
716938.83580870,3305172.99847121,67,-1,1,0.961034,3.400000
716939.12811180,3305173.01862996,68,-1,1,0.961034,3.400000
716939.42041490,3305173.03878871,69,-1,1,0.961034,3.400000
716939.71271800,3305173.05894746,70,-1,1,0.961034,3.400000
716940.00502110,3305173.07910622,71,-1,1,0.961034,3.400000
716940.29732420,3305173.09926497,72,-1,1,0.961034,3.400000
716940.58962730,3305173.11942372,73,-1,1,0.961034,3.400000
716940.88193040,3305173.13958247,74,-1,1,0.961034,3.300000
716941.17423350,3305173.15974122,75,-1,1,0.961034,3.300000
716941.46653660,3305173.17989998,76,-1,1,0.961034,3.300000
716941.75883970,3305173.20005873,77,-1,1,0.961034,3.300000
716942.05114281,3305173.22021748,78,-1,1,0.961034,3.200000
716942.34344591,3305173.24037623,79,-1,1,0.961034,3.200000
716942.63511906,3305173.29014327,80,-1,1,0.989489,3.200000
716942.92616225,3305173.36951860,81,-1,1,0.989490,3.200000
716943.21720544,3305173.44889393,82,-1,1,0.989489,3.200000
716943.50824864,3305173.52826926,83,-1,1,0.989489,3.100000
716943.79929183,3305173.60764459,84,-1,1,0.989489,3.100000
716944.09033503,3305173.68701991,85,-1,1,0.989489,3.100000
716944.38137822,3305173.76639524,86,-1,1,0.989489,3.100000
716944.67242142,3305173.84577057,87,-1,1,0.989489,3.100000
716944.96346462,3305173.92514590,88,-1,1,0.989489,3.100000
716945.25450781,3305174.00452123,89,-1,1,0.989489,3.100000
716945.54555101,3305174.08389657,90,-1,1,0.989490,3.100000
716945.83659421,3305174.16327190,91,-1,1,0.989489,3.000000
716946.12763741,3305174.24264723,92,-1,1,0.989490,3.000000
716946.41868061,3305174.32202256,93,-1,1,0.989489,3.000000
716946.70972380,3305174.40139789,94,-1,1,0.989490,3.000000
716947.00076700,3305174.48077322,95,-1,1,0.989489,3.000000
716947.29445549,3305174.50635222,96,-1,1,0.976373,3.000000
716947.59078925,3305174.47813488,97,-1,1,0.976373,3.000000
716947.88712302,3305174.44991755,98,-1,1,0.976373,3.000000
716948.18345678,3305174.42170021,99,-1,1,0.976373,3.000000
716948.47979055,3305174.39348287,100,-1,1,0.976373,3.000000
716948.77612431,3305174.36526554,101,-1,1,0.976373,3.000000
716949.07245808,3305174.33704820,102,-1,1,0.976373,3.100000
716949.36879185,3305174.30883086,103,-1,1,0.976373,3.100000
716949.66512562,3305174.28061352,104,-1,1,0.976373,3.100000
716949.96145938,3305174.25239618,105,-1,1,0.976373,3.100000
716950.25779315,3305174.22417885,106,-1,1,0.976373,3.100000
716950.55412692,3305174.19596151,107,-1,1,0.976373,3.100000
716950.85046069,3305174.16774417,108,-1,1,0.976373,3.100000
716951.14679446,3305174.13952683,109,-1,1,0.976373,3.100000
716951.44312823,3305174.11130950,110,-1,1,0.976373,3.100000
716951.73854258,3305174.06959245,111,-1,1,0.982778,3.100000
716952.03303751,3305174.01437570,112,-1,1,0.982778,3.100000
716952.32753244,3305173.95915895,113,-1,1,0.982778,3.100000
716952.62202737,3305173.90394220,114,-1,1,0.982778,3.100000
716952.91652230,3305173.84872545,115,-1,1,0.982778,3.100000
716953.21101723,3305173.79350870,116,-1,1,0.982778,3.100000
716953.50551217,3305173.73829195,117,-1,1,0.982778,3.200000
716953.80000710,3305173.68307520,118,-1,1,0.982778,3.200000
716954.09450203,3305173.62785845,119,-1,1,0.982778,3.200000
716954.38899696,3305173.57264170,120,-1,1,0.982778,3.200000
716954.68349190,3305173.51742495,121,-1,1,0.982778,3.200000
716954.97798683,3305173.46220820,122,-1,1,0.982778,3.200000
716955.27248176,3305173.40699145,123,-1,1,0.982778,3.200000
716955.56697670,3305173.35177470,124,-1,1,0.982778,3.200000
716955.86147163,3305173.29655795,125,-1,1,0.982778,3.200000
716956.15596657,3305173.24134119,126,-1,1,0.982778,3.200000
716956.45046151,3305173.18612444,127,-1,1,0.982778,3.100000
716956.74495644,3305173.13090769,128,-1,1,0.982778,3.200000
716957.03945138,3305173.07569094,129,-1,1,0.982778,3.200000
716957.33394632,3305173.02047418,130,-1,1,0.982778,3.200000
716957.62844125,3305172.96525743,131,-1,1,0.982778,3.100000
716957.92293619,3305172.91004068,132,-1,1,0.982778,3.100000
716958.21743113,3305172.85482392,133,-1,1,0.982778,3.100000
716958.50732245,3305172.77659760,134,-1,1,0.992915,3.100000
716958.79261014,3305172.67536170,135,-1,1,0.992915,3.100000
716959.07789783,3305172.57412580,136,-1,1,0.992915,3.100000
716959.36318553,3305172.47288991,137,-1,1,0.992915,3.000000
716959.64847322,3305172.37165401,138,-1,1,0.992915,3.000000
716959.93376092,3305172.27041811,139,-1,1,0.992915,2.900000
716960.21904861,3305172.16918221,140,-1,1,0.992915,2.900000
716960.50433631,3305172.06794631,141,-1,1,0.992915,2.900000
716960.78962400,3305171.96671041,142,-1,1,0.992915,2.900000
716961.07491170,3305171.86547451,143,-1,1,0.992915,2.900000
716961.36019940,3305171.76423861,144,-1,1,0.992915,2.900000
716961.64548709,3305171.66300271,145,-1,1,0.992915,3.000000
716961.93077479,3305171.56176681,146,-1,1,0.992915,3.000000
716962.21606249,3305171.46053091,147,-1,1,0.992915,3.100000
716962.50135019,3305171.35929501,148,-1,1,0.992915,3.100000
716962.78663789,3305171.25805911,149,-1,1,0.992915,3.200000
716963.07192558,3305171.15682320,150,-1,1,0.992915,3.200000
716963.35721328,3305171.05558730,151,-1,1,0.992915,3.200000
716963.64250098,3305170.95435140,152,-1,1,0.992915,3.200000
716963.92778868,3305170.85311550,153,-1,1,0.992915,3.200000
716964.21307638,3305170.75187959,154,-1,1,0.992915,3.200000
716964.49836408,3305170.65064369,155,-1,1,0.992915,3.200000
716964.78365178,3305170.54940778,156,-1,1,0.992915,3.200000
716965.06637067,3305170.44276054,157,-1,1,0.989677,3.300000
716965.34652075,3305170.33070197,158,-1,1,0.989677,3.300000
716965.62667083,3305170.21864340,159,-1,1,0.989677,3.300000
716965.90682091,3305170.10658483,160,-1,1,0.989677,3.400000
716966.18697098,3305169.99452625,161,-1,1,0.989677,3.400000
716966.46712106,3305169.88246767,162,-1,1,0.989677,3.500000
716966.74727114,3305169.77040910,163,-1,1,0.989677,3.500000
716967.02742122,3305169.65835052,164,-1,1,0.989677,3.500000
716967.30757130,3305169.54629195,165,-1,1,0.989677,3.600000
716967.58772138,3305169.43423337,166,-1,1,0.989678,3.600000
716967.86787146,3305169.32217480,167,-1,1,0.989677,3.600000
716968.14802154,3305169.21011622,168,-1,1,0.989678,3.700000
716968.42817162,3305169.09805764,169,-1,1,0.989677,3.700000
716968.70832170,3305168.98599906,170,-1,1,0.989677,3.800000
716968.98847178,3305168.87394048,171,-1,1,0.989678,3.800000
716969.26862186,3305168.76188190,172,-1,1,0.989677,3.900000
716969.54877195,3305168.64982333,173,-1,1,0.989677,3.900000
716969.82892203,3305168.53776475,174,-1,1,0.989677,3.900000
716970.10907211,3305168.42570617,175,-1,1,0.989677,3.900000
716970.38922219,3305168.31364759,176,-1,1,0.989677,3.700000
716970.66937228,3305168.20158900,177,-1,1,0.989677,3.500000
716970.94952236,3305168.08953042,178,-1,1,0.989677,3.400000
716971.22967244,3305167.97747184,179,-1,1,0.989677,3.200000
716971.50982253,3305167.86541326,180,-1,1,0.989678,3.200000
716971.78997261,3305167.75335467,181,-1,1,0.989677,3.200000
716972.07012270,3305167.64129609,182,-1,1,0.989677,3.200000
716972.35027278,3305167.52923751,183,-1,1,0.989677,3.200000
716972.63042287,3305167.41717893,184,-1,1,0.989677,3.200000
716972.91057295,3305167.30512035,185,-1,1,0.989677,3.400000
716973.19072304,3305167.19306176,186,-1,1,0.989677,3.400000
716973.47087313,3305167.08100318,187,-1,1,0.989677,3.400000
716973.75102321,3305166.96894459,188,-1,1,0.989677,3.300000
716974.03117330,3305166.85688601,189,-1,1,0.989677,3.300000
