XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
727535.53889932,3305701.43212222,0,-1,1,0.993067,2.800000
727535.54079192,3305701.12934669,1,-1,1,0.993067,2.800000
727535.54268453,3305700.82657116,2,-1,1,0.993067,2.800000
727535.54457713,3305700.52379563,3,-1,1,0.993067,2.800000
727535.54646973,3305700.22102010,4,-1,1,0.993067,2.800000
727535.54836233,3305699.91824457,5,-1,1,0.993067,2.800000
727535.55025494,3305699.61546904,6,-1,1,0.993067,2.800000
727535.55214754,3305699.31269351,7,-1,1,0.993067,2.800000
727535.55404014,3305699.00991798,8,-1,1,0.993067,2.800000
727535.55593274,3305698.70714245,9,-1,1,0.993067,2.700000
727535.55782534,3305698.40436692,10,-1,1,0.993067,2.700000
727535.55971794,3305698.10159139,11,-1,1,0.993067,2.700000
727535.56161053,3305697.79881586,12,-1,1,0.993067,2.700000
727535.56350313,3305697.49604033,13,-1,1,0.993067,2.700000
727535.56539573,3305697.19326480,14,-1,1,0.993067,2.600000
727535.56728833,3305696.89048927,15,-1,1,0.993067,2.600000
727535.56918092,3305696.58771374,16,-1,1,0.993067,2.600000
727535.57107352,3305696.28493821,17,-1,1,0.993067,2.600000
727535.57296611,3305695.98216268,18,-1,1,0.993067,2.600000
727535.57485871,3305695.67938716,19,-1,1,0.993067,2.500000
727535.57675130,3305695.37661163,20,-1,1,0.993067,2.500000
727535.57864390,3305695.07383610,21,-1,1,0.993067,2.500000
727535.58053649,3305694.77106057,22,-1,1,0.993067,2.400000
727535.58242908,3305694.46828504,23,-1,1,0.993067,2.400000
727535.58432168,3305694.16550951,24,-1,1,0.993067,2.400000
727535.58621427,3305693.86273398,25,-1,1,0.993067,2.400000
727535.58810686,3305693.55995845,26,-1,1,0.993067,2.400000
727535.58999945,3305693.25718292,27,-1,1,0.993067,2.400000
727535.59189204,3305692.95440739,28,-1,1,0.993067,2.400000
727535.59378463,3305692.65163186,29,-1,1,0.993067,2.400000
727535.59567722,3305692.34885633,30,-1,1,0.993067,2.300000
727535.59756981,3305692.04608080,31,-1,1,0.993067,2.300000
727535.59946239,3305691.74330528,32,-1,1,0.993067,2.300000
727535.60135498,3305691.44052975,33,-1,1,0.993067,2.300000
727535.60324757,3305691.13775422,34,-1,1,0.993067,2.300000
727535.60514016,3305690.83497869,35,-1,1,0.993067,2.300000
727535.60703274,3305690.53220316,36,-1,1,0.993067,2.300000
727535.60892533,3305690.22942763,37,-1,1,0.993067,2.200000
727535.61081791,3305689.92665210,38,-1,1,0.993067,2.200000
727535.61271050,3305689.62387657,39,-1,1,0.993067,2.200000
727535.61460308,3305689.32110104,40,-1,1,0.993067,2.200000
727535.61649567,3305689.01832552,41,-1,1,0.993067,2.100000
727535.61838825,3305688.71554999,42,-1,1,0.993067,2.100000
727535.62028083,3305688.41277446,43,-1,1,0.993067,2.100000
727535.62217341,3305688.10999893,44,-1,1,0.993067,2.100000
727535.62406599,3305687.80722340,45,-1,1,0.993067,2.100000
727535.62595858,3305687.50444787,46,-1,1,0.993067,2.100000
727535.62785116,3305687.20167234,47,-1,1,0.993067,2.100000
727535.62974374,3305686.89889681,48,-1,1,0.993067,2.100000
727535.63163632,3305686.59612129,49,-1,1,0.993067,2.100000
727535.63352889,3305686.29334576,50,-1,1,0.993067,2.100000
727535.63542147,3305685.99057023,51,-1,1,0.993067,2.100000
727535.63731405,3305685.68779470,52,-1,1,0.993067,2.000000
727535.63920663,3305685.38501917,53,-1,1,0.993067,2.000000
727535.64109921,3305685.08224365,54,-1,1,0.993067,2.000000
727535.64299178,3305684.77946812,55,-1,1,0.993067,2.000000
727535.64488436,3305684.47669259,56,-1,1,0.993067,2.000000
727535.64677693,3305684.17391706,57,-1,1,0.993067,2.000000
727535.64866951,3305683.87114153,58,-1,1,0.993067,2.000000
727535.65056208,3305683.56836600,59,-1,1,0.993067,2.000000
727535.65245466,3305683.26559047,60,-1,1,0.993067,2.000000
727535.65434723,3305682.96281495,61,-1,1,0.993067,2.000000
727535.65623980,3305682.66003942,62,-1,1,0.993067,2.000000
727535.65813237,3305682.35726389,63,-1,1,0.993067,2.000000
727535.66002495,3305682.05448836,64,-1,1,0.993067,2.000000
727535.66191752,3305681.75171283,65,-1,1,0.993067,2.000000
727535.66381009,3305681.44893730,66,-1,1,0.993067,2.000000
727535.66570266,3305681.14616178,67,-1,1,0.993067,2.000000
727535.66759523,3305680.84338625,68,-1,1,0.993067,2.000000
727535.66948780,3305680.54061072,69,-1,1,0.993067,2.000000
727535.67138036,3305680.23783519,70,-1,1,0.993067,2.000000
727535.67327293,3305679.93505967,71,-1,1,0.993067,2.000000
727535.67516550,3305679.63228414,72,-1,1,0.993067,2.000000
727535.67705807,3305679.32950861,73,-1,1,0.993067,2.000000
727535.67895063,3305679.02673308,74,-1,1,0.993067,2.000000
727535.68084320,3305678.72395756,75,-1,1,0.993067,2.000000
727535.68273577,3305678.42118203,76,-1,1,0.993067,2.000000
727535.68462833,3305678.11840650,77,-1,1,0.993067,2.000000
727535.68652090,3305677.81563097,78,-1,1,0.993067,2.000000
727535.68841346,3305677.51285544,79,-1,1,0.993067,2.000000
727535.69030602,3305677.21007992,80,-1,1,0.993067,2.100000
727535.69219859,3305676.90730439,81,-1,1,0.993067,2.100000
727535.69409115,3305676.60452886,82,-1,1,0.993067,2.100000
727535.69598371,3305676.30175333,83,-1,1,0.993067,2.100000
727535.69787627,3305675.99897780,84,-1,1,0.993067,2.100000
727535.69976883,3305675.69620228,85,-1,1,0.993067,2.100000
727535.70166139,3305675.39342675,86,-1,1,0.993067,2.100000
727535.70355395,3305675.09065122,87,-1,1,0.993067,2.100000
727535.70544651,3305674.78787569,88,-1,1,0.993067,2.100000
727535.70733907,3305674.48510017,89,-1,1,0.993067,2.000000
727535.70923163,3305674.18232464,90,-1,1,0.993067,2.000000
727535.71112419,3305673.87954911,91,-1,1,0.993067,2.000000
727535.71301674,3305673.57677359,92,-1,1,0.993067,2.000000
727535.71490930,3305673.27399806,93,-1,1,0.993067,2.000000
727535.71680186,3305672.97122253,94,-1,1,0.993067,2.000000
727535.71869441,3305672.66844700,95,-1,1,0.993067,1.900000
727535.72058697,3305672.36567148,96,-1,1,0.993067,1.900000
727535.72247952,3305672.06289595,97,-1,1,0.993067,1.900000
727535.72437208,3305671.76012042,98,-1,1,0.993067,1.900000
727535.72626463,3305671.45734490,99,-1,1,0.993067,1.900000
727535.72815718,3305671.15456937,100,-1,1,0.993067,1.900000
727535.73004974,3305670.85179384,101,-1,1,0.993067,1.900000
727535.73194229,3305670.54901832,102,-1,1,0.993067,1.900000
727535.73383484,3305670.24624279,103,-1,1,0.993067,1.900000
727535.73572739,3305669.94346726,104,-1,1,0.993067,2.000000
727535.73761994,3305669.64069173,105,-1,1,0.993067,2.000000
727535.74426512,3305669.33736397,106,-1,1,0.997371,2.000000
727535.75566293,3305669.03348396,107,-1,1,0.997371,2.000000
727535.76706073,3305668.72960395,108,-1,1,0.997371,1.900000
727535.77845854,3305668.42572394,109,-1,1,0.997371,1.900000
727535.78985634,3305668.12184394,110,-1,1,0.997371,2.000000
727535.80125415,3305667.81796393,111,-1,1,0.997371,2.000000
727535.81265195,3305667.51408392,112,-1,1,0.997371,2.000000
727535.82404975,3305667.21020391,113,-1,1,0.997371,2.000000
727535.83544755,3305666.90632391,114,-1,1,0.997371,2.100000
727535.84684536,3305666.60244390,115,-1,1,0.997371,2.100000
727535.85824316,3305666.29856389,116,-1,1,0.997371,2.100000
727535.86964096,3305665.99468389,117,-1,1,0.997371,2.100000
727535.88103876,3305665.69080387,118,-1,1,0.997371,2.100000
727535.89243656,3305665.38692387,119,-1,1,0.997371,2.100000
727535.90383436,3305665.08304386,120,-1,1,0.997371,2.200000
727535.91523216,3305664.77916385,121,-1,1,0.997371,2.200000
727535.92662995,3305664.47528384,122,-1,1,0.997371,2.200000
727535.93802775,3305664.17140384,123,-1,1,0.997371,2.200000
727535.94942555,3305663.86752383,124,-1,1,0.997371,2.200000
727535.96082335,3305663.56364382,125,-1,1,0.997371,2.200000
727535.97222114,3305663.25976381,126,-1,1,0.997371,2.200000
727535.98361894,3305662.95588381,127,-1,1,0.997371,2.300000
727535.99501673,3305662.65200380,128,-1,1,0.997371,2.300000
727536.00641453,3305662.34812379,129,-1,1,0.997371,2.300000
727536.01781232,3305662.04424378,130,-1,1,0.997371,2.300000
727536.02921012,3305661.74036378,131,-1,1,0.997371,2.300000
727536.04060791,3305661.43648377,132,-1,1,0.997371,2.300000
727536.05200570,3305661.13260376,133,-1,1,0.997371,2.300000
727536.06340349,3305660.82872375,134,-1,1,0.997371,2.300000
727536.07480128,3305660.52484375,135,-1,1,0.997371,2.300000
727536.08619908,3305660.22096374,136,-1,1,0.997371,2.300000
727536.09759687,3305659.91708373,137,-1,1,0.997371,2.300000
727536.10899466,3305659.61320372,138,-1,1,0.997371,2.300000
727536.12039245,3305659.30932371,139,-1,1,0.997371,2.300000
727536.13179023,3305659.00544371,140,-1,1,0.997371,2.300000
727536.14318802,3305658.70156370,141,-1,1,0.997371,2.300000
727536.15458581,3305658.39768369,142,-1,1,0.997371,2.400000
727536.16598360,3305658.09380368,143,-1,1,0.997371,2.400000
727536.17738138,3305657.78992367,144,-1,1,0.997371,2.400000
727536.18877917,3305657.48604367,145,-1,1,0.997371,2.400000
727536.20017696,3305657.18216366,146,-1,1,0.997371,2.400000
727536.21157474,3305656.87828365,147,-1,1,0.997371,2.400000
727536.22297253,3305656.57440364,148,-1,1,0.997371,2.400000
727536.23437031,3305656.27052364,149,-1,1,0.997371,2.400000
727536.24576809,3305655.96664363,150,-1,1,0.997371,2.400000
727536.25716588,3305655.66276362,151,-1,1,0.997371,2.500000
727536.26856366,3305655.35888362,152,-1,1,0.997371,2.500000
727536.27996144,3305655.05500361,153,-1,1,0.997371,2.500000
727536.29135922,3305654.75112360,154,-1,1,0.997371,2.500000
727536.30275700,3305654.44724359,155,-1,1,0.997371,2.500000
727536.31415479,3305654.14336358,156,-1,1,0.997371,2.600000
727536.32555257,3305653.83948357,157,-1,1,0.997371,2.600000
727536.33695034,3305653.53560357,158,-1,1,0.997371,2.600000
727536.34834812,3305653.23172356,159,-1,1,0.997371,2.600000
727536.35974590,3305652.92784355,160,-1,1,0.997371,2.700000
727536.37114368,3305652.62396355,161,-1,1,0.997371,2.700000
727536.38254146,3305652.32008354,162,-1,1,0.997371,2.800000
727536.39393923,3305652.01620353,163,-1,1,0.997371,2.800000
727536.40533701,3305651.71232352,164,-1,1,0.997371,2.800000
727536.41673479,3305651.40844351,165,-1,1,0.997371,2.900000
727536.42813256,3305651.10456350,166,-1,1,0.997371,2.900000
727536.43953034,3305650.80068350,167,-1,1,0.997371,2.900000
727536.45092811,3305650.49680349,168,-1,1,0.997371,2.900000
727536.46232588,3305650.19292348,169,-1,1,0.997371,2.900000
727536.47372366,3305649.88904348,170,-1,1,0.997371,2.900000
727536.48512143,3305649.58516347,171,-1,1,0.997371,2.900000
727536.49651920,3305649.28128346,172,-1,1,0.997371,2.900000
727536.50791697,3305648.97740345,173,-1,1,0.997371,2.900000
727536.51931475,3305648.67352344,174,-1,1,0.997371,2.900000
