XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
754253.82095091,3275833.01263700,0,-1,1,0.948309,6.300000
754253.61441090,3275832.81024400,1,-1,1,0.948309,6.400000
754253.40787196,3275832.60784992,2,-1,1,0.948309,6.500000
754253.20133301,3275832.40545583,3,-1,1,0.948309,6.700000
754252.99479407,3275832.20306175,4,-1,1,0.948309,6.900000
754252.78825513,3275832.00066766,5,-1,1,0.948309,7.100000
754252.58171624,3275831.79827352,6,-1,1,0.948309,7.300000
754252.37517336,3275831.59588827,7,-1,1,0.948287,7.600000
754252.19075496,3275831.37253193,8,-1,1,0.961846,7.700000
754252.02846615,3275831.12821971,9,-1,1,0.961846,7.800000
754251.86617173,3275830.88391122,10,-1,1,0.961846,7.800000
754251.70387732,3275830.63960272,11,-1,1,0.961846,7.800000
754251.54158291,3275830.39529423,12,-1,1,0.961846,7.800000
754251.37928849,3275830.15098574,13,-1,1,0.961846,7.900000
754251.21699408,3275829.90667725,14,-1,1,0.961846,7.900000
754251.05469966,3275829.66236876,15,-1,1,0.961846,7.900000
754250.89240525,3275829.41806027,16,-1,1,0.961846,8.000000
754250.73011985,3275829.17375910,17,-1,1,0.961774,8.100000
754250.51876049,3275829.12807892,18,-1,1,0.990397,8.200000
754250.25834259,3275829.28102192,19,-1,1,0.990397,8.200000
754249.99792856,3275829.43397151,20,-1,1,0.990397,8.200000
754249.73751453,3275829.58692110,21,-1,1,0.990397,8.200000
754249.47710051,3275829.73987069,22,-1,1,0.990397,8.200000
754249.21668648,3275829.89282028,23,-1,1,0.990397,8.200000
754248.95627245,3275830.04576987,24,-1,1,0.990397,8.200000
754248.69585843,3275830.19871946,25,-1,1,0.990397,8.200000
754248.43544440,3275830.35166905,26,-1,1,0.990397,8.200000
754248.17502932,3275830.50461684,27,-1,1,0.990397,8.200000
754247.91461635,3275830.65756822,28,-1,1,0.990397,8.200000
754247.65420233,3275830.81051781,29,-1,1,0.990397,8.200000
754247.39378830,3275830.96346739,30,-1,1,0.990397,8.100000
754247.13337427,3275831.11641698,31,-1,1,0.990397,8.100000
754246.87296025,3275831.26936657,32,-1,1,0.990397,8.100000
754246.61254622,3275831.42231615,33,-1,1,0.990397,8.100000
754246.35213220,3275831.57526573,34,-1,1,0.990397,8.100000
754246.09171818,3275831.72821532,35,-1,1,0.990397,8.100000
754245.83130415,3275831.88116490,36,-1,1,0.990397,8.100000
754245.57089320,3275832.03411070,37,-1,1,0.990367,8.100000
754245.35626353,3275831.98435336,38,-1,1,0.996026,7.400000
754245.18742395,3275831.73188179,39,-1,1,0.996026,6.700000
754245.01858450,3275831.47941013,40,-1,1,0.996026,5.800000
754244.84974505,3275831.22693848,41,-1,1,0.996026,5.000000
754244.68090560,3275830.97446682,42,-1,1,0.996026,4.100000
754244.51206616,3275830.72199517,43,-1,1,0.996026,3.300000
754244.34322671,3275830.46952352,44,-1,1,0.996026,3.000000
754244.17438726,3275830.21705186,45,-1,1,0.996026,3.000000
754244.00554781,3275829.96458021,46,-1,1,0.996026,3.000000
754243.83670836,3275829.71210856,47,-1,1,0.996026,2.900000
754243.66786891,3275829.45963691,48,-1,1,0.996026,2.900000
754243.49902947,3275829.20716526,49,-1,1,0.996026,2.900000
754243.33019002,3275828.95469361,50,-1,1,0.996026,2.900000
754243.16135057,3275828.70222196,51,-1,1,0.996026,2.900000
754242.99251112,3275828.44975031,52,-1,1,0.996026,2.900000
754242.82367167,3275828.19727866,53,-1,1,0.996026,2.900000
754242.65483222,3275827.94480701,54,-1,1,0.996026,2.900000
754242.48599277,3275827.69233536,55,-1,1,0.996026,2.900000
754242.31715332,3275827.43986372,56,-1,1,0.996026,2.900000
754242.14831388,3275827.18739207,57,-1,1,0.996026,2.900000
754241.97947443,3275826.93492043,58,-1,1,0.996026,2.900000
754241.81063498,3275826.68244878,59,-1,1,0.996026,2.900000
754241.64179553,3275826.42997714,60,-1,1,0.996026,2.800000
754241.47295608,3275826.17750549,61,-1,1,0.996026,2.800000
754241.30411663,3275825.92503385,62,-1,1,0.996026,2.800000
754241.13527718,3275825.67256221,63,-1,1,0.996026,2.800000
754240.96643773,3275825.42009056,64,-1,1,0.996026,2.800000
754240.79759828,3275825.16761892,65,-1,1,0.996026,2.800000
754240.62875883,3275824.91514728,66,-1,1,0.996026,2.800000
754240.45991937,3275824.66267564,67,-1,1,0.996026,2.800000
754240.29107992,3275824.41020400,68,-1,1,0.996026,2.800000
754240.12224047,3275824.15773236,69,-1,1,0.996026,2.800000
754239.95340102,3275823.90526072,70,-1,1,0.996026,2.800000
754239.78456157,3275823.65278908,71,-1,1,0.996026,2.800000
754239.61572212,3275823.40031745,72,-1,1,0.996026,2.800000
754239.44688267,3275823.14784581,73,-1,1,0.996026,2.800000
754239.27804322,3275822.89537418,74,-1,1,0.996026,2.800000
754239.10920376,3275822.64290254,75,-1,1,0.996026,2.800000
754238.94036431,3275822.39043090,76,-1,1,0.996026,2.800000
754238.77152486,3275822.13795927,77,-1,1,0.996026,2.800000
754238.60268541,3275821.88548763,78,-1,1,0.996026,2.800000
754238.43384596,3275821.63301600,79,-1,1,0.996026,2.800000
754238.26500650,3275821.38054437,80,-1,1,0.996026,2.800000
754238.09616705,3275821.12807273,81,-1,1,0.996026,2.900000
754237.92732760,3275820.87560110,82,-1,1,0.996026,2.900000
754237.75848815,3275820.62312947,83,-1,1,0.996026,2.900000
754237.58964869,3275820.37065784,84,-1,1,0.996026,2.900000
754237.42080924,3275820.11818621,85,-1,1,0.996026,2.900000
754237.25196979,3275819.86571458,86,-1,1,0.996026,2.900000
754237.08313034,3275819.61324295,87,-1,1,0.996026,2.900000
754236.91429088,3275819.36077133,88,-1,1,0.996026,2.900000
754236.74545143,3275819.10829970,89,-1,1,0.996026,2.900000
754236.57661198,3275818.85582807,90,-1,1,0.996026,2.900000
754236.40777252,3275818.60335644,91,-1,1,0.996026,2.900000
754236.23893307,3275818.35088482,92,-1,1,0.996026,2.900000
754236.07009361,3275818.09841319,93,-1,1,0.996026,2.900000
754235.90125416,3275817.84594157,94,-1,1,0.996026,2.900000
