XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
716180.20398958,3294830.81598846,0,-1,1,0.999037,14.800000
716180.43148796,3294830.61346941,1,-1,1,0.999037,14.800000
716180.65898633,3294830.41095035,2,-1,1,0.999037,14.800000
716180.88648471,3294830.20843130,3,-1,1,0.999037,14.800000
716181.11398308,3294830.00591224,4,-1,1,0.999037,14.800000
716181.34148146,3294829.80339318,5,-1,1,0.999037,14.800000
716181.56897984,3294829.60087412,6,-1,1,0.999037,14.800000
716181.79647822,3294829.39835507,7,-1,1,0.999037,14.800000
716182.02397659,3294829.19583601,8,-1,1,0.999037,14.800000
716182.25147497,3294828.99331695,9,-1,1,0.999037,14.800000
716182.47897334,3294828.79079789,10,-1,1,0.999037,14.800000
716182.70647172,3294828.58827883,11,-1,1,0.999037,14.800000
716182.93397010,3294828.38575977,12,-1,1,0.999037,14.800000
716183.16146847,3294828.18324071,13,-1,1,0.999037,14.800000
716183.38896685,3294827.98072165,14,-1,1,0.999037,14.800000
716183.61646523,3294827.77820258,15,-1,1,0.999037,14.800000
716183.84396360,3294827.57568352,16,-1,1,0.999037,14.800000
716184.07146198,3294827.37316446,17,-1,1,0.999037,14.800000
716184.29896036,3294827.17064540,18,-1,1,0.999037,14.800000
716184.52645873,3294826.96812633,19,-1,1,0.999037,14.800000
716184.75395711,3294826.76560727,20,-1,1,0.999037,14.800000
716184.98145548,3294826.56308820,21,-1,1,0.999037,14.800000
716185.20895386,3294826.36056914,22,-1,1,0.999037,14.800000
716185.43645224,3294826.15805007,23,-1,1,0.999037,14.800000
716185.66395061,3294825.95553100,24,-1,1,0.999037,14.800000
716185.89144899,3294825.75301194,25,-1,1,0.999037,14.800000
716186.11894737,3294825.55049287,26,-1,1,0.999037,14.800000
716186.34644574,3294825.34797380,27,-1,1,0.999037,14.800000
716186.57394412,3294825.14545473,28,-1,1,0.999037,14.800000
716186.80144250,3294824.94293567,29,-1,1,0.999037,14.800000
716187.02894087,3294824.74041660,30,-1,1,0.999037,14.800000
716187.25643925,3294824.53789752,31,-1,1,0.999037,14.800000
716187.48393763,3294824.33537845,32,-1,1,0.999037,14.800000
716187.71143600,3294824.13285938,33,-1,1,0.999037,14.800000
716187.93893438,3294823.93034031,34,-1,1,0.999037,14.800000
716188.16643276,3294823.72782124,35,-1,1,0.999037,14.800000
716188.39393113,3294823.52530217,36,-1,1,0.999037,14.800000
716188.62142951,3294823.32278309,37,-1,1,0.999037,14.800000
716188.84892788,3294823.12026402,38,-1,1,0.999037,14.800000
716189.07642626,3294822.91774495,39,-1,1,0.999037,14.800000
716189.30392464,3294822.71522587,40,-1,1,0.999037,14.800000
716189.53142301,3294822.51270680,41,-1,1,0.999037,14.800000
716189.75892139,3294822.31018772,42,-1,1,0.999037,14.800000
716189.98641977,3294822.10766865,43,-1,1,0.999037,14.800000
716190.21391814,3294821.90514957,44,-1,1,0.999037,14.800000
716190.44141652,3294821.70263049,45,-1,1,0.999037,14.800000
716190.66891490,3294821.50011142,46,-1,1,0.999037,14.800000
716190.89641327,3294821.29759234,47,-1,1,0.999037,14.800000
716191.12391165,3294821.09507326,48,-1,1,0.999037,14.700000
716191.35141003,3294820.89255418,49,-1,1,0.999037,14.700000
716191.57890840,3294820.69003510,50,-1,1,0.999037,14.700000
716191.80640678,3294820.48751602,51,-1,1,0.999037,14.700000
716192.03390515,3294820.28499694,52,-1,1,0.999037,14.700000
716192.26140353,3294820.08247786,53,-1,1,0.999037,14.700000
716192.48890191,3294819.87995878,54,-1,1,0.999037,14.700000
716192.71640028,3294819.67743970,55,-1,1,0.999037,14.700000
716192.94389866,3294819.47492061,56,-1,1,0.999037,14.700000
716193.17139704,3294819.27240153,57,-1,1,0.999037,14.700000
716193.39889541,3294819.06988245,58,-1,1,0.999037,14.700000
716193.62639379,3294818.86736336,59,-1,1,0.999037,14.700000
716193.85389217,3294818.66484428,60,-1,1,0.999037,14.700000
716194.08139054,3294818.46232519,61,-1,1,0.999037,14.700000
716194.30888892,3294818.25980611,62,-1,1,0.999037,14.700000
716194.53638729,3294818.05728702,63,-1,1,0.999037,14.700000
716194.76388567,3294817.85476794,64,-1,1,0.999037,14.700000
716194.99138405,3294817.65224885,65,-1,1,0.999037,14.700000
716195.21888242,3294817.44972976,66,-1,1,0.999037,14.700000
716195.44638080,3294817.24721067,67,-1,1,0.999037,14.700000
716195.67387918,3294817.04469159,68,-1,1,0.999037,14.700000
716195.90137755,3294816.84217250,69,-1,1,0.999037,14.700000
716196.12887593,3294816.63965341,70,-1,1,0.999037,14.700000
716196.35637431,3294816.43713432,71,-1,1,0.999037,14.700000
716196.58387268,3294816.23461523,72,-1,1,0.999037,14.700000
716196.81137106,3294816.03209614,73,-1,1,0.999037,14.700000
716197.03886943,3294815.82957704,74,-1,1,0.999037,14.700000
716197.26636781,3294815.62705795,75,-1,1,0.999037,14.700000
716197.49386619,3294815.42453886,76,-1,1,0.999037,14.700000
716197.72136456,3294815.22201977,77,-1,1,0.999037,14.700000
716197.94886294,3294815.01950067,78,-1,1,0.999037,14.700000
716198.17636132,3294814.81698158,79,-1,1,0.999037,14.700000
716198.40385969,3294814.61446249,80,-1,1,0.999037,14.700000
716198.63135807,3294814.41194339,81,-1,1,0.999037,14.700000
716198.85885645,3294814.20942430,82,-1,1,0.999037,14.700000
716199.08635482,3294814.00690520,83,-1,1,0.999037,14.700000
716199.31385320,3294813.80438611,84,-1,1,0.999037,14.700000
716199.54135157,3294813.60186701,85,-1,1,0.999037,14.700000
716199.76884995,3294813.39934791,86,-1,1,0.999037,14.700000
716199.99634833,3294813.19682881,87,-1,1,0.999037,14.700000
716200.22384670,3294812.99430971,88,-1,1,0.999037,14.700000
716200.45134508,3294812.79179061,89,-1,1,0.999037,14.700000
716200.67884346,3294812.58927151,90,-1,1,0.999037,14.700000
716200.90634183,3294812.38675241,91,-1,1,0.999037,14.700000
716201.13384021,3294812.18423332,92,-1,1,0.999037,14.600000
716201.36133858,3294811.98171422,93,-1,1,0.999037,14.600000
716201.58883696,3294811.77919511,94,-1,1,0.999037,14.600000
716201.81633534,3294811.57667601,95,-1,1,0.999037,14.600000
716202.04383371,3294811.37415691,96,-1,1,0.999037,14.600000
716202.27133209,3294811.17163781,97,-1,1,0.999037,14.600000
716202.49883047,3294810.96911871,98,-1,1,0.999037,14.600000
716202.72632884,3294810.76659960,99,-1,1,0.999037,14.600000
