XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
731367.88971865,3307111.94910012,0,-1,1,0.999873,3.200000
731368.19370881,3307111.92604357,1,-1,1,0.999873,3.200000
731368.49769897,3307111.90298702,2,-1,1,0.999873,3.200000
731368.80168990,3307111.87994073,3,-1,1,0.999873,3.200000
731369.10567928,3307111.85687392,4,-1,1,0.999873,3.200000
731369.40966944,3307111.83381737,5,-1,1,0.999873,3.200000
731369.71365960,3307111.81076082,6,-1,1,0.999873,3.200000
731370.01764975,3307111.78770427,7,-1,1,0.999873,3.200000
731370.32163991,3307111.76464772,8,-1,1,0.999873,3.200000
731370.62563007,3307111.74159117,9,-1,1,0.999873,3.200000
731370.92962023,3307111.71853462,10,-1,1,0.999873,3.200000
731371.23361039,3307111.69547807,11,-1,1,0.999873,3.200000
731371.53760055,3307111.67242152,12,-1,1,0.999873,3.200000
731371.84159072,3307111.64936497,13,-1,1,0.999873,3.200000
731372.14558088,3307111.62630842,14,-1,1,0.999873,3.200000
731372.44957104,3307111.60325187,15,-1,1,0.999873,3.200000
731372.75356121,3307111.58019532,16,-1,1,0.999873,3.100000
731373.05755137,3307111.55713876,17,-1,1,0.999873,3.100000
731373.36154153,3307111.53408221,18,-1,1,0.999873,3.100000
731373.66553170,3307111.51102566,19,-1,1,0.999873,3.100000
731373.96952186,3307111.48796911,20,-1,1,0.999873,3.100000
731374.27351429,3307111.46494270,21,-1,1,0.999874,3.100000
731374.57750219,3307111.44185601,22,-1,1,0.999873,3.100000
731374.88149317,3307111.41881018,23,-1,1,0.999873,3.100000
731375.18548253,3307111.39574290,24,-1,1,0.999873,3.100000
731375.48947270,3307111.37268635,25,-1,1,0.999873,3.100000
731375.79346287,3307111.34962980,26,-1,1,0.999873,3.100000
731376.09745303,3307111.32657325,27,-1,1,0.999873,3.000000
731376.40144320,3307111.30351669,28,-1,1,0.999873,3.000000
731376.70543337,3307111.28046014,29,-1,1,0.999873,3.000000
731377.00942355,3307111.25740359,30,-1,1,0.999873,3.000000
731377.31341372,3307111.23434704,31,-1,1,0.999873,3.000000
731377.61740521,3307111.21130803,32,-1,1,0.999873,3.000000
731377.92139406,3307111.18823393,33,-1,1,0.999873,3.000000
731378.22538423,3307111.16517738,34,-1,1,0.999873,3.000000
731378.52937441,3307111.14212083,35,-1,1,0.999873,3.000000
731378.83336458,3307111.11906427,36,-1,1,0.999873,3.000000
731379.13735475,3307111.09600772,37,-1,1,0.999873,3.000000
731379.44134493,3307111.07295116,38,-1,1,0.999873,3.000000
731379.74533510,3307111.04989461,39,-1,1,0.999873,2.900000
731380.04932528,3307111.02683805,40,-1,1,0.999873,2.900000
731380.35331545,3307111.00378150,41,-1,1,0.999873,2.900000
731380.65730675,3307110.98073968,42,-1,1,0.999873,2.900000
731380.96129581,3307110.95766839,43,-1,1,0.999873,2.900000
731381.26528599,3307110.93461184,44,-1,1,0.999873,2.900000
731381.56927616,3307110.91155528,45,-1,1,0.999873,2.900000
731381.87326634,3307110.88849873,46,-1,1,0.999873,2.900000
731382.17725652,3307110.86544218,47,-1,1,0.999873,2.900000
731382.48124670,3307110.84238562,48,-1,1,0.999873,2.900000
731382.78523688,3307110.81932907,49,-1,1,0.999873,2.900000
731383.08922706,3307110.79627251,50,-1,1,0.999873,2.900000
731383.39321725,3307110.77321596,51,-1,1,0.999873,2.800000
731383.69720743,3307110.75015940,52,-1,1,0.999873,2.800000
731384.00119761,3307110.72710285,53,-1,1,0.999873,2.800000
731384.30518779,3307110.70404629,54,-1,1,0.999873,2.800000
731384.60917798,3307110.68098973,55,-1,1,0.999873,2.800000
731384.91316816,3307110.65793318,56,-1,1,0.999873,2.800000
731385.21715835,3307110.63487662,57,-1,1,0.999873,2.800000
731385.52114853,3307110.61182007,58,-1,1,0.999873,2.800000
731385.82513872,3307110.58876351,59,-1,1,0.999873,2.800000
